CustomerId,Product_Type,Enrollment_Date,Status
15634602,Credit Card,2022-05-04,Active
15634602,Insurance,2023-05-01,Active
15634602,Mutual Fund,2023-12-21,Active
15647311,Insurance,2022-01-24,Active
15647311,Mutual Fund,2022-12-09,Active
15647311,Credit Card,2023-08-18,Inactive
15619304,Insurance,2023-07-02,Active
15701354,Insurance,2023-01-09,Active
15737888,Credit Card,2022-06-21,Active
15737888,Insurance,2022-05-23,Active
15574012,Credit Card,2023-03-12,Active
15574012,Mutual Fund,2023-01-06,Active
15574012,Fixed Deposit,2022-02-09,Active
15592531,Credit Card,2023-07-05,Active
15592531,Mutual Fund,2022-07-25,Active
15656148,Credit Card,2022-02-02,Inactive
15792365,Fixed Deposit,2023-03-03,Active
15792365,Insurance,2022-06-05,Active
15792365,Credit Card,2023-11-06,Inactive
15592389,Insurance,2023-08-01,Active
15767821,Loan,2022-09-11,Active
15767821,Insurance,2023-03-03,Active
15737173,Insurance,2023-09-21,Active
15632264,Mutual Fund,2023-05-19,Active
15632264,Loan,2022-06-26,Active
15632264,Credit Card,2022-04-09,Inactive
15691483,Fixed Deposit,2023-03-04,Active
15600882,Loan,2022-04-24,Active
15600882,Fixed Deposit,2023-06-20,Active
15643966,Mutual Fund,2022-09-28,Active
15643966,Credit Card,2023-08-06,Active
15737452,Credit Card,2022-06-15,Active
15737452,Insurance,2022-08-05,Active
15788218,Loan,2023-02-05,Active
15788218,Credit Card,2023-01-20,Active
15661507,Credit Card,2022-07-25,Active
15568982,Loan,2022-11-19,Inactive
15568982,Fixed Deposit,2023-08-04,Active
15568982,Credit Card,2022-10-26,Active
15577657,Credit Card,2022-06-19,Active
15577657,Insurance,2022-01-28,Active
15577657,Fixed Deposit,2023-02-11,Active
15597945,Insurance,2023-11-20,Active
15597945,Credit Card,2022-08-13,Active
15597945,Mutual Fund,2022-04-12,Active
15699309,Credit Card,2022-11-12,Inactive
15725737,Insurance,2022-04-25,Active
15725737,Loan,2023-01-23,Active
15725737,Credit Card,2023-02-07,Active
15625047,Fixed Deposit,2023-02-17,Active
15738191,Fixed Deposit,2022-04-30,Active
15736816,Mutual Fund,2022-03-09,Active
15736816,Insurance,2022-07-04,Active
15700772,Mutual Fund,2022-07-09,Active
15728693,Credit Card,2023-03-23,Active
15656300,Credit Card,2023-05-30,Inactive
15589475,Credit Card,2023-11-04,Active
15589475,Fixed Deposit,2022-04-28,Inactive
15589475,Mutual Fund,2022-05-02,Active
15706552,Fixed Deposit,2023-03-10,Inactive
15706552,Loan,2023-05-29,Active
15706552,Credit Card,2023-05-12,Active
15750181,Fixed Deposit,2023-08-29,Active
15750181,Mutual Fund,2023-09-28,Active
15750181,Insurance,2022-06-17,Active
15659428,Credit Card,2023-10-22,Active
15732963,Insurance,2022-04-13,Active
15794171,Insurance,2023-10-27,Active
15794171,Loan,2022-12-08,Inactive
15788448,Mutual Fund,2023-12-18,Active
15729599,Fixed Deposit,2023-03-06,Inactive
15729599,Insurance,2022-06-19,Active
15717426,Loan,2023-09-27,Active
15717426,Fixed Deposit,2023-03-23,Active
15585768,Mutual Fund,2023-11-03,Inactive
15585768,Fixed Deposit,2022-12-12,Active
15619360,Loan,2023-01-22,Active
15738148,Insurance,2022-06-09,Active
15687946,Fixed Deposit,2023-06-21,Active
15687946,Insurance,2022-11-14,Active
15687946,Mutual Fund,2022-01-05,Active
15755196,Fixed Deposit,2023-02-21,Active
15684171,Credit Card,2022-03-20,Active
15754849,Fixed Deposit,2022-10-14,Active
15602280,Loan,2022-10-13,Active
15602280,Insurance,2023-04-01,Active
15602280,Mutual Fund,2023-06-02,Active
15771573,Mutual Fund,2023-08-09,Active
15771573,Insurance,2023-02-27,Inactive
15766205,Loan,2022-01-17,Active
15771873,Mutual Fund,2023-03-01,Active
15616550,Loan,2023-05-13,Active
15616550,Insurance,2023-03-13,Active
15768193,Mutual Fund,2023-05-24,Active
15683553,Insurance,2023-12-08,Active
15683553,Fixed Deposit,2023-09-12,Inactive
15683553,Mutual Fund,2023-07-31,Active
15702298,Fixed Deposit,2023-04-23,Active
15702298,Credit Card,2023-11-10,Active
15702298,Mutual Fund,2022-07-25,Active
15569590,Credit Card,2023-11-19,Active
15569590,Loan,2022-08-04,Active
15760861,Fixed Deposit,2022-08-19,Active
15760861,Loan,2023-12-23,Active
15630053,Loan,2022-09-10,Active
15630053,Insurance,2022-12-01,Inactive
15647091,Loan,2022-11-29,Active
15647091,Fixed Deposit,2022-06-27,Active
15647091,Mutual Fund,2022-08-09,Active
15623944,Loan,2023-03-07,Active
15804771,Credit Card,2023-07-08,Active
15804771,Fixed Deposit,2022-07-20,Active
15804771,Insurance,2022-02-14,Active
15651280,Insurance,2023-06-18,Inactive
15651280,Loan,2023-10-06,Inactive
15773469,Credit Card,2023-10-20,Active
15773469,Loan,2023-07-22,Active
15702014,Mutual Fund,2023-09-25,Active
15702014,Insurance,2022-01-31,Active
15751208,Mutual Fund,2022-02-18,Inactive
15751208,Insurance,2023-08-22,Inactive
15751208,Loan,2022-01-05,Active
15592461,Loan,2023-07-13,Inactive
15592461,Insurance,2022-10-07,Active
15592461,Mutual Fund,2023-03-20,Active
15789484,Credit Card,2022-09-17,Active
15789484,Loan,2022-03-16,Inactive
15789484,Mutual Fund,2023-10-05,Active
15696061,Loan,2022-06-15,Active
15696061,Insurance,2022-02-18,Active
15696061,Mutual Fund,2023-02-11,Active
15641582,Loan,2023-07-08,Inactive
15641582,Credit Card,2023-04-26,Inactive
15641582,Insurance,2023-11-07,Active
15638424,Credit Card,2022-12-07,Active
15755648,Fixed Deposit,2022-07-28,Active
15755648,Credit Card,2023-09-12,Inactive
15755648,Loan,2022-12-22,Inactive
15703793,Credit Card,2022-05-10,Active
15703793,Insurance,2022-03-27,Active
15703793,Fixed Deposit,2022-10-12,Active
15620344,Mutual Fund,2022-06-08,Active
15620344,Fixed Deposit,2023-10-19,Active
15620344,Credit Card,2022-07-07,Active
15812518,Mutual Fund,2022-10-06,Inactive
15779052,Mutual Fund,2023-05-18,Active
15779052,Fixed Deposit,2023-10-21,Active
15770811,Insurance,2022-09-05,Active
15780961,Loan,2023-02-09,Active
15780961,Credit Card,2023-08-08,Active
15780961,Mutual Fund,2022-10-08,Active
15614049,Mutual Fund,2022-02-02,Active
15614049,Credit Card,2022-03-27,Active
15662085,Loan,2022-06-26,Active
15662085,Credit Card,2022-07-01,Active
15662085,Mutual Fund,2023-10-29,Inactive
15575185,Credit Card,2023-05-28,Inactive
15803136,Credit Card,2022-07-30,Active
15706021,Loan,2022-08-02,Active
15706021,Fixed Deposit,2022-12-26,Active
15706021,Insurance,2022-01-26,Active
15663706,Fixed Deposit,2022-01-07,Active
15663706,Loan,2022-11-23,Active
15663706,Credit Card,2023-03-23,Inactive
15641732,Fixed Deposit,2023-06-27,Inactive
15641732,Credit Card,2023-03-09,Active
15701164,Mutual Fund,2022-06-10,Active
15701164,Credit Card,2023-06-06,Inactive
15738751,Mutual Fund,2022-05-29,Active
15738751,Loan,2023-07-24,Active
15805254,Fixed Deposit,2022-09-08,Active
15805254,Credit Card,2022-11-12,Inactive
15762418,Mutual Fund,2022-02-04,Active
15625759,Mutual Fund,2022-01-12,Active
15622897,Loan,2022-05-29,Active
15622897,Credit Card,2023-01-22,Active
15767954,Mutual Fund,2022-08-02,Inactive
15767954,Fixed Deposit,2023-07-05,Active
15757535,Fixed Deposit,2022-06-25,Active
15757535,Loan,2022-05-02,Active
15757535,Mutual Fund,2023-04-12,Active
15731511,Credit Card,2022-03-31,Inactive
15731511,Insurance,2023-01-09,Active
15809248,Insurance,2022-12-30,Active
15809248,Fixed Deposit,2023-08-11,Active
15809248,Mutual Fund,2023-10-22,Inactive
15640635,Insurance,2023-01-17,Active
15640635,Credit Card,2022-06-27,Active
15640635,Fixed Deposit,2022-11-28,Active
15676966,Credit Card,2023-09-09,Active
15676966,Loan,2022-08-20,Active
15699461,Mutual Fund,2022-10-31,Active
15738721,Mutual Fund,2023-04-11,Active
15738721,Loan,2022-04-27,Active
15738721,Insurance,2022-09-04,Active
15693683,Loan,2022-01-09,Active
15693683,Insurance,2022-12-24,Inactive
15693683,Credit Card,2022-04-24,Active
15604348,Loan,2023-10-19,Inactive
15604348,Insurance,2022-09-15,Active
15604348,Credit Card,2022-07-08,Inactive
15633059,Mutual Fund,2022-12-26,Active
15633059,Loan,2022-09-15,Active
15633059,Credit Card,2023-06-18,Active
15808582,Loan,2022-11-24,Active
15808582,Credit Card,2022-03-14,Active
15808582,Insurance,2023-04-30,Active
15743192,Fixed Deposit,2022-10-11,Active
15580146,Insurance,2022-11-27,Active
15580146,Credit Card,2022-04-07,Active
15580146,Mutual Fund,2022-05-01,Active
15776605,Insurance,2022-06-10,Active
15776605,Credit Card,2023-01-12,Active
15776605,Fixed Deposit,2022-07-29,Active
15804919,Credit Card,2022-02-05,Active
15613854,Insurance,2023-03-18,Active
15599195,Fixed Deposit,2022-09-19,Active
15812878,Insurance,2023-04-18,Active
15812878,Credit Card,2022-09-08,Active
15602312,Fixed Deposit,2022-07-23,Active
15744689,Credit Card,2022-11-22,Active
15744689,Mutual Fund,2022-04-02,Inactive
15744689,Loan,2022-12-10,Active
15803526,Fixed Deposit,2022-09-03,Active
15803526,Credit Card,2022-06-18,Active
15665790,Fixed Deposit,2023-11-27,Active
15665790,Loan,2023-11-10,Inactive
15665790,Credit Card,2023-10-26,Active
15715951,Mutual Fund,2022-04-05,Active
15715951,Credit Card,2022-09-27,Active
15591100,Insurance,2022-11-21,Inactive
15591100,Credit Card,2023-04-08,Inactive
15609618,Fixed Deposit,2023-06-05,Active
15609618,Loan,2023-11-19,Active
15609618,Credit Card,2022-03-10,Active
15675522,Fixed Deposit,2022-11-16,Active
15705512,Credit Card,2022-06-17,Active
15705512,Fixed Deposit,2023-06-04,Active
15705512,Loan,2023-10-04,Active
15698028,Insurance,2022-05-27,Active
15661670,Credit Card,2022-09-11,Active
15661670,Mutual Fund,2022-12-18,Active
15600781,Fixed Deposit,2023-08-08,Active
15682472,Loan,2023-05-18,Active
15682472,Fixed Deposit,2022-03-25,Active
15580203,Loan,2022-03-19,Inactive
15580203,Mutual Fund,2022-04-07,Active
15690673,Credit Card,2022-06-01,Active
15760085,Insurance,2022-11-17,Active
15779659,Mutual Fund,2022-07-19,Active
15779659,Loan,2022-07-02,Inactive
15779659,Fixed Deposit,2022-04-02,Active
15627360,Insurance,2022-11-13,Active
15627360,Credit Card,2022-07-14,Inactive
15627360,Loan,2022-05-28,Active
15671137,Mutual Fund,2022-01-13,Inactive
15671137,Loan,2022-07-31,Active
15671137,Fixed Deposit,2022-08-13,Active
15782688,Credit Card,2022-05-17,Active
15782688,Insurance,2022-02-08,Active
15575492,Insurance,2023-12-15,Active
15575492,Loan,2023-12-09,Active
15575492,Credit Card,2022-11-10,Active
15591607,Loan,2023-01-19,Inactive
15740404,Fixed Deposit,2022-11-12,Active
15740404,Mutual Fund,2023-11-16,Active
15740404,Credit Card,2022-11-04,Active
15718369,Credit Card,2023-07-26,Inactive
15718369,Insurance,2022-01-30,Active
15677871,Insurance,2022-06-08,Active
15677871,Credit Card,2022-01-15,Active
15642004,Fixed Deposit,2022-03-11,Active
15642004,Insurance,2023-12-02,Active
15642004,Credit Card,2023-06-05,Active
15712543,Fixed Deposit,2023-01-03,Active
15712543,Insurance,2023-10-20,Active
15584518,Mutual Fund,2022-04-10,Inactive
15584518,Loan,2023-09-18,Active
15584518,Insurance,2022-05-10,Active
15802381,Credit Card,2022-06-15,Active
15610156,Insurance,2023-03-03,Active
15594408,Mutual Fund,2022-02-13,Active
15640905,Loan,2023-07-20,Inactive
15640905,Mutual Fund,2023-10-26,Active
15698932,Mutual Fund,2023-07-10,Active
15698932,Credit Card,2023-11-29,Active
15724944,Insurance,2023-11-15,Inactive
15628145,Credit Card,2022-06-04,Active
15628145,Mutual Fund,2023-05-09,Active
15628145,Fixed Deposit,2022-11-22,Active
15713483,Fixed Deposit,2023-06-21,Active
15612350,Loan,2023-10-28,Active
15612350,Credit Card,2022-09-13,Inactive
15612350,Mutual Fund,2022-10-20,Active
15800703,Fixed Deposit,2023-08-17,Active
15800703,Loan,2023-05-16,Active
15800703,Credit Card,2022-04-07,Active
15705707,Credit Card,2022-09-03,Inactive
15754105,Fixed Deposit,2022-02-13,Active
15754105,Credit Card,2022-01-17,Active
15703264,Fixed Deposit,2023-10-17,Active
15794413,Credit Card,2023-08-31,Inactive
15794413,Fixed Deposit,2022-01-06,Active
15794413,Loan,2022-11-08,Inactive
15650237,Insurance,2023-06-03,Inactive
15650237,Fixed Deposit,2023-02-24,Inactive
15650237,Credit Card,2022-07-28,Inactive
15759618,Insurance,2023-03-09,Active
15811589,Insurance,2023-05-13,Active
15811589,Fixed Deposit,2022-09-12,Active
15689044,Fixed Deposit,2022-01-23,Active
15689044,Mutual Fund,2022-05-11,Active
15709368,Credit Card,2023-11-16,Active
15709368,Loan,2022-03-28,Active
15679145,Mutual Fund,2023-04-05,Active
15679145,Insurance,2022-06-05,Active
15655007,Fixed Deposit,2023-09-05,Active
15655007,Loan,2022-07-19,Inactive
15655007,Insurance,2022-04-01,Inactive
15623595,Mutual Fund,2022-07-04,Active
15623595,Insurance,2023-07-04,Active
15589975,Credit Card,2023-05-10,Inactive
15589975,Loan,2023-06-03,Active
15804017,Mutual Fund,2022-09-27,Active
15692132,Insurance,2023-07-26,Active
15641122,Credit Card,2022-05-16,Active
15641122,Fixed Deposit,2023-05-15,Active
15630910,Fixed Deposit,2022-03-04,Active
15630910,Loan,2023-11-19,Active
15630910,Mutual Fund,2022-04-16,Active
15680772,Mutual Fund,2023-04-26,Active
15680772,Credit Card,2022-11-09,Inactive
15658929,Credit Card,2023-11-13,Active
15658929,Loan,2022-11-20,Active
15658929,Mutual Fund,2022-01-21,Active
15585388,Fixed Deposit,2022-02-20,Active
15585388,Credit Card,2023-01-24,Active
15724623,Fixed Deposit,2023-09-10,Active
15724623,Loan,2023-03-06,Active
15724623,Credit Card,2023-03-24,Active
15588537,Loan,2023-06-02,Active
15588537,Fixed Deposit,2023-03-04,Active
15574692,Credit Card,2023-12-01,Active
15574692,Mutual Fund,2023-06-05,Active
15611325,Insurance,2023-07-24,Inactive
15587562,Fixed Deposit,2023-10-13,Active
15587562,Mutual Fund,2022-11-06,Active
15587562,Insurance,2022-12-18,Active
15613172,Fixed Deposit,2023-10-03,Active
15613172,Loan,2023-04-01,Active
15613172,Mutual Fund,2022-11-16,Active
15651022,Loan,2022-04-19,Active
15651022,Fixed Deposit,2022-07-01,Inactive
15651022,Insurance,2023-10-10,Active
15586310,Fixed Deposit,2022-09-17,Active
15625524,Mutual Fund,2022-09-05,Active
15755209,Insurance,2022-01-29,Active
15755209,Loan,2023-07-11,Active
15645248,Insurance,2022-11-06,Active
15790355,Mutual Fund,2023-12-08,Active
15762615,Mutual Fund,2023-11-29,Inactive
15762615,Fixed Deposit,2022-07-15,Inactive
15625426,Fixed Deposit,2022-05-16,Active
15625426,Loan,2023-10-17,Active
15716334,Mutual Fund,2022-09-25,Active
15789669,Credit Card,2022-10-09,Active
15621075,Mutual Fund,2022-05-06,Active
15621075,Insurance,2022-03-12,Active
15621075,Loan,2023-05-20,Active
15810845,Credit Card,2023-12-07,Active
15719377,Mutual Fund,2023-10-27,Active
15654506,Fixed Deposit,2022-08-20,Active
15771977,Credit Card,2023-04-14,Active
15771977,Insurance,2022-04-12,Active
15771977,Fixed Deposit,2022-01-29,Inactive
15708710,Credit Card,2023-11-15,Active
15708710,Mutual Fund,2023-09-30,Active
15708710,Loan,2023-12-02,Inactive
15726676,Mutual Fund,2023-09-22,Active
15726676,Fixed Deposit,2023-10-31,Active
15726676,Loan,2023-07-07,Active
15587421,Loan,2022-02-17,Active
15587421,Credit Card,2023-05-03,Active
15726931,Insurance,2023-05-11,Active
15726931,Loan,2022-02-12,Inactive
15771086,Credit Card,2022-08-24,Active
15771086,Loan,2023-01-08,Inactive
15756850,Loan,2022-11-01,Active
15756850,Credit Card,2022-12-16,Inactive
15756850,Fixed Deposit,2023-03-29,Active
15702741,Mutual Fund,2022-02-28,Active
15679200,Insurance,2023-09-23,Active
15679200,Mutual Fund,2023-05-19,Active
15594815,Credit Card,2022-06-24,Active
15594815,Mutual Fund,2023-10-02,Inactive
15635905,Fixed Deposit,2023-10-08,Active
15635905,Insurance,2023-08-12,Active
15777892,Fixed Deposit,2022-11-17,Active
15777892,Loan,2022-04-09,Active
15656176,Insurance,2022-01-29,Active
15656176,Mutual Fund,2023-08-15,Active
15811127,Mutual Fund,2022-03-06,Active
15604482,Fixed Deposit,2022-08-08,Inactive
15622911,Mutual Fund,2023-05-26,Active
15622911,Insurance,2022-05-01,Active
15622911,Credit Card,2023-01-19,Active
15600974,Fixed Deposit,2022-10-16,Active
15727868,Fixed Deposit,2023-03-30,Active
15727868,Mutual Fund,2022-03-14,Active
15627801,Mutual Fund,2023-10-29,Active
15773039,Mutual Fund,2023-09-11,Active
15755262,Loan,2023-03-15,Inactive
15679531,Credit Card,2023-12-20,Active
15679531,Fixed Deposit,2023-10-18,Active
