Transaction_ID,CustomerId,Transaction_Date,Transaction_Type,Amount
7423388,15634602,2023-09-28,LoanPayment,3909.47
3234489,15634602,2023-08-03,LoanPayment,2323.28
8204212,15634602,2023-04-10,Fee,3554.96
5523669,15634602,2023-11-05,Withdrawal,3623.89
5521373,15634602,2023-10-21,Withdrawal,950.03
2262752,15634602,2023-11-10,Withdrawal,84.98
6743066,15634602,2023-02-28,LoanPayment,740.49
5721339,15634602,2023-09-28,Withdrawal,498.5
6147581,15634602,2023-02-20,Fee,2595.46
9242680,15634602,2023-05-11,Deposit,3057.35
6499720,15634602,2023-06-16,Withdrawal,4746.98
4385357,15647311,2023-08-30,Withdrawal,1557.84
1068148,15647311,2023-12-06,Fee,2228.75
5056518,15647311,2023-09-21,LoanPayment,908.16
2870928,15647311,2023-02-19,Fee,3789.04
3305413,15647311,2023-02-23,Withdrawal,2860.12
1271836,15647311,2023-07-10,Withdrawal,3886.91
9585377,15647311,2023-07-21,Withdrawal,4636.96
4047262,15647311,2023-10-31,LoanPayment,488.04
3879190,15647311,2023-09-09,Deposit,4807.8
4366612,15647311,2023-07-27,Deposit,1393.18
3630708,15647311,2023-10-07,Withdrawal,4828.01
7723771,15647311,2023-02-10,Deposit,4020.88
2425472,15647311,2023-12-11,LoanPayment,2145.84
2504384,15647311,2023-05-16,Fee,119.7
2737095,15647311,2023-06-12,LoanPayment,3867.79
3231785,15647311,2023-08-19,Withdrawal,623.55
1996107,15619304,2023-02-02,Fee,1885.55
4747389,15619304,2023-08-04,Deposit,3661.55
4602279,15619304,2023-08-02,LoanPayment,2828.15
1491234,15619304,2023-04-11,LoanPayment,3580.56
7914550,15619304,2023-09-12,Withdrawal,2494.29
8558158,15619304,2023-12-12,Withdrawal,2224.72
1769598,15619304,2023-12-18,LoanPayment,2403.08
4331068,15619304,2023-04-06,Fee,4542.45
1973548,15619304,2023-05-23,LoanPayment,1055.15
7216204,15619304,2023-06-09,LoanPayment,1484.27
5574293,15619304,2023-10-11,Withdrawal,3140.55
3539448,15701354,2023-05-14,Fee,4028.18
9306461,15701354,2023-11-27,Fee,4046.83
7700379,15701354,2023-08-19,Withdrawal,594.76
6895544,15701354,2023-10-10,Withdrawal,52.58
5322252,15701354,2023-08-21,LoanPayment,84.41
2954109,15701354,2023-06-14,Deposit,643.33
8205547,15701354,2023-06-01,LoanPayment,883.04
1061087,15701354,2023-04-06,Fee,3529.94
2496176,15701354,2023-11-14,Deposit,1306.88
4360011,15701354,2023-10-22,Withdrawal,3575.74
8072695,15701354,2023-03-22,LoanPayment,3067.34
4782875,15701354,2023-02-23,LoanPayment,1429.3
9658144,15701354,2023-05-06,Withdrawal,2678.13
6478047,15701354,2023-07-17,Fee,2983.85
8103230,15701354,2023-10-21,Fee,2377.99
4080389,15701354,2023-08-28,Fee,4184.75
3008187,15701354,2023-07-06,Withdrawal,3494.27
5506259,15701354,2023-09-09,LoanPayment,1140.19
2607618,15737888,2023-05-27,Fee,3243.61
1071295,15737888,2023-02-08,Withdrawal,4196.67
6251035,15737888,2023-05-31,LoanPayment,4392.83
1554594,15737888,2023-09-20,Fee,916.03
8299695,15737888,2023-03-01,Deposit,1247.17
3472189,15737888,2023-05-20,Deposit,4507.07
2241082,15737888,2023-01-09,Deposit,1778.59
4674515,15737888,2023-06-01,Withdrawal,3910.38
7041495,15737888,2023-04-26,LoanPayment,4681.39
1791971,15737888,2023-04-14,Fee,2924.4
6106799,15737888,2023-04-09,Deposit,75.05
3799487,15737888,2023-12-04,Withdrawal,3474.88
7928040,15737888,2023-06-10,Fee,1224.38
6072148,15737888,2023-10-31,Fee,1864.02
7730886,15574012,2023-07-14,Deposit,1574.9
5301754,15574012,2023-01-22,Withdrawal,2969.86
7105525,15574012,2023-09-21,LoanPayment,2200.25
3457184,15574012,2023-10-11,LoanPayment,2487.96
8265795,15574012,2023-02-04,Fee,3245.09
6709840,15574012,2023-06-21,Fee,2376.23
4444084,15574012,2023-01-06,LoanPayment,3751.21
9519981,15574012,2023-06-30,LoanPayment,4819.92
7214624,15574012,2023-04-26,LoanPayment,1563.2
3215167,15574012,2023-11-19,Fee,1894.8
1688105,15574012,2023-08-11,Withdrawal,3495.35
1445101,15574012,2023-10-07,Withdrawal,3094.29
2105534,15592531,2023-06-04,Withdrawal,4393.0
5353127,15592531,2023-10-26,Withdrawal,1829.48
3676188,15592531,2023-06-19,LoanPayment,2127.92
6491590,15592531,2023-11-09,Fee,4001.56
7555968,15592531,2023-09-21,Fee,2014.08
9837590,15592531,2023-05-23,Fee,2915.38
5183839,15592531,2023-08-03,LoanPayment,227.91
4239576,15592531,2023-07-05,LoanPayment,4910.11
5249913,15592531,2023-02-27,Withdrawal,1288.74
4503157,15592531,2023-04-11,Deposit,4147.95
5197355,15656148,2023-04-18,Deposit,2313.46
4867500,15656148,2023-12-16,LoanPayment,3512.59
8019431,15656148,2023-11-04,Fee,4880.47
3900603,15656148,2023-04-16,Withdrawal,253.28
2646711,15656148,2023-11-15,LoanPayment,2222.91
2423286,15656148,2023-12-12,Deposit,962.45
1183062,15656148,2023-05-07,Deposit,3458.07
7095929,15656148,2023-05-02,Deposit,2239.64
7468703,15656148,2023-05-06,Withdrawal,3587.25
1176615,15656148,2023-08-25,Deposit,3209.44
5601020,15656148,2023-07-11,LoanPayment,2206.58
8006454,15656148,2023-03-17,Withdrawal,1812.06
1144356,15656148,2023-03-27,Deposit,1742.3
9398043,15656148,2023-03-10,LoanPayment,251.61
3288627,15656148,2023-07-23,Fee,534.28
4502630,15656148,2023-04-10,Deposit,2350.14
1288790,15792365,2023-09-07,Withdrawal,4748.27
4693305,15792365,2023-05-27,Withdrawal,2530.15
2352695,15792365,2023-11-21,Deposit,856.53
2100567,15792365,2023-12-02,LoanPayment,4724.05
1049115,15792365,2023-06-09,LoanPayment,4014.7
6957515,15792365,2023-06-27,LoanPayment,3234.28
6246880,15792365,2023-06-28,LoanPayment,4710.25
1491072,15792365,2023-06-17,Withdrawal,1073.09
3248988,15792365,2023-01-12,LoanPayment,1917.43
3976242,15592389,2023-08-30,LoanPayment,1715.94
5833177,15592389,2023-03-31,Withdrawal,4081.62
3597480,15592389,2023-07-15,Withdrawal,3498.85
